State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
New Mexico,COLFAX,Cimarron Police Department,NM0040200,50,20,30,52,21,31,0,0,0,0,0,0,0,0,0,0,0,0,28,7,21,5,2,3,26,4,22,0,0,0,59,13,46,36.612962,-104.640126
New Mexico,COLFAX,Springer Police Department,NM0040300,30,10,20,33,11,22,0,0,0,0,0,0,1,0,1,0,0,0,19,7,12,11,2,9,24,5,19,0,0,0,54,14,40,36.612962,-104.640126
New Mexico,COLFAX,Angel Fire Police Department,NM0040500,84,33,51,92,34,58,1,0,1,0,0,0,3,0,3,2,1,1,123,16,107,21,4,17,175,32,143,3,0,3,319,52,267,36.612962,-104.640126
New Mexico,CURRY,Curry County Sheriff's Office,NM0050000,119,48,71,150,57,93,15,4,11,0,0,0,11,4,7,6,2,4,431,42,389,103,16,87,261,19,242,5,0,5,795,77,718,34.572984,-103.346055
New Mexico,CURRY,Clovis Police Department,NM0050100,1423,285,1138,1830,357,1473,92,13,79,0,0,0,59,13,46,17,5,12,2772,247,2525,1006,87,919,10200,951,9249,141,24,117,13978,1285,12693,34.572984,-103.346055
New Mexico,CURRY,Texico Police Department,NM0050300,17,0,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,3,0,3,15,1,14,0,0,0,36,1,35,34.572984,-103.346055
New Mexico,DE BACA,De Baca County Sheriff's Office,NM0060000,29,12,17,36,14,22,0,0,0,0,0,0,0,0,0,0,0,0,92,7,85,27,4,23,61,12,49,3,1,2,180,23,157,34.359269,-104.368692
New Mexico,DONA ANA,Dona Ana County Sheriff's Office,NM0070000,1336,360,976,1740,455,1285,39,5,34,4,0,4,233,53,180,26,7,19,1648,125,1523,752,93,659,2828,186,2642,185,27,158,5228,404,4824,32.350912,-106.832182
New Mexico,DONA ANA,Las Cruces Police Department,NM0070100,2732,734,1998,3659,940,2719,45,14,31,0,0,0,326,53,273,77,30,47,5149,406,4743,2515,258,2257,27082,5431,21651,292,38,254,34746,6095,28651,32.316395,-106.77963
New Mexico,DONA ANA,Anthony Police Department,NM0070200,155,34,121,174,35,139,0,0,0,0,0,0,2,0,2,1,0,1,145,14,131,38,6,32,98,2,96,14,1,13,281,22,259,32.350912,-106.832182
